source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
20083458,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20083458/,6200.0,3LDK,70.51,2021,5.0,13.0,東京都葛飾区白鳥２ [ ■ 周辺環境 ],お花茶屋駅,9.0,22
20352318,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20352318/,6180.0,3LDK,67.85,2005,1.0,15.0,東京都葛飾区亀有３-49-1 [ ■ 周辺環境 ],亀有駅,8.0,25
79051173,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_79051173/,6280.0,3LDK,75.87,2015,13.0,15.0,東京都葛飾区高砂１ [ ■ 周辺環境 ],青砥駅,10.0,22
20305665,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_20305665/,6180.0,3LDK,71.04,2001,3.0,13.0,東京都江東区大島８ [ ■ 周辺環境 ],東大島駅,9.0,21
78377768,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_78377768/,6199.0,1LDK,38.66,1999,2.0,8.0,東京都港区西麻布４-2-6 [ ■ 周辺環境 ],広尾駅,8.0,12
20135739,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20135739/,6180.0,3LDK,68.6,1993,2.0,7.0,東京都練馬区豊玉上２-2-11 [ ■ 周辺環境 ],桜台駅,6.0,22
20192920,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20192920/,6190.0,3LDK,58.87,1993,8.0,12.0,東京都練馬区中村北１ [ ■ 周辺環境 ],練馬駅,10.0,25
20107110,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20107110/,6190.0,3LDK,72.71,2015,11.0,11.0,東京都大田区大森南２ [ ■ 周辺環境 ],大鳥居駅,19.0,28
20201460,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20201460/,6190.0,3LDK,72.71,2015,11.0,11.0,東京都大田区大森南２ [ ■ 周辺環境 ],大鳥居駅,19.0,33
20336926,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20336926/,6250.0,2LDK,51.7,1995,4.0,6.0,東京都大田区西蒲田６ [ ■ 周辺環境 ],蒲田駅,5.0,22
79174383,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79174383/,6190.0,3LDK,72.71,2015,11.0,11.0,東京都大田区大森南２ [ ■ 周辺環境 ],大鳥居駅,19.0,27
79217748,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_79217748/,6190.0,3LDK,72.71,2015,11.0,11.0,東京都大田区大森南２ [ ■ 周辺環境 ],大鳥居駅,19.0,26
20217903,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20217903/,6199.0,1LDK,40.22,2003,3.0,5.0,東京都世田谷区上北沢３ [ ■ 周辺環境 ],上北沢駅,4.0,30
78985182,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_78985182/,6199.0,1LDK,46.41,1979,6.0,7.0,東京都世田谷区三軒茶屋１ [ ■ 周辺環境 ],三軒茶屋駅,3.0,33
20081817,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20081817/,6180.0,1LDK,35.0,2006,4.0,9.0,東京都新宿区北新宿２ [ ■ 周辺環境 ],中野坂上駅,6.0,22
20162523,https://suumo.jp/ms/chuko/tokyo/sc_shinjuku/nc_20162523/,6190.0,2LDK,52.73,1982,2.0,10.0,東京都新宿区西早稲田３ [ ■ 周辺環境 ],面影橋駅,1.0,19
20287261,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_20287261/,6280.0,1LDK,40.08,2010,3.0,11.0,東京都墨田区業平３ [ ■ 周辺環境 ],押上駅,2.0,22
20231536,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20231536/,6190.0,1LDK,55.68,1995,2.0,9.0,東京都豊島区北大塚３ [ ■ 周辺環境 ],大塚駅,10.0,27
20322384,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20322384/,6199.0,2DK,50.96,1987,15.0,15.0,東京都豊島区東池袋３ [ ■ 周辺環境 ],池袋駅,10.0,13
20331982,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20331982/,6198.0,3LDK,59.7,1979,2.0,10.0,東京都豊島区高田２ [ ■ 周辺環境 ],雑司が谷駅,5.0,35
20340580,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20340580/,6199.0,2DK,50.96,1987,15.0,15.0,東京都豊島区東池袋３ [ ■ 周辺環境 ],池袋駅,10.0,27
20340603,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20340603/,6198.0,3LDK,61.35,1979,1.0,10.0,東京都豊島区高田２ [ ■ 周辺環境 ],雑司が谷駅,5.0,27
20355008,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20355008/,6198.0,3LDK,59.7,1979,2.0,10.0,東京都豊島区高田２-8-9 [ ■ 周辺環境 ],雑司が谷駅,5.0,32
