source,source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,interior_image_count
suumo,78771212,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78771212/,4790,3LDK,,2012,3,9,東京都足立区綾瀬６,綾瀬駅,16,32
suumo,78773318,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78773318/,2480,3LDK,,1977,7,8,東京都足立区中川４,亀有駅,14,33
suumo,78999389,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78999389/,3595,3LDK,,1995,1,7,東京都足立区島根２,西新井駅,17,49
suumo,79006715,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79006715/,4190,2LDK,,2020,3,7,東京都足立区新田１,王子神谷駅,15,74
suumo,79012035,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79012035/,3600,4DK,69.8,1985,4,4,東京都足立区谷中１,北綾瀬駅,7,37
suumo,79037314,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79037314/,4280,3LDK,,1980,3,14,東京都足立区千住関屋町,北千住駅,14,43
suumo,79044265,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79044265/,2600,2DK,,1983,10,11,東京都足立区小台１,足立小台駅,4,40
suumo,79077041,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79077041/,3180,2LDK,,1983,2,5,東京都足立区東和５,北綾瀬駅,9,28
suumo,79113478,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79113478/,4280,3LDK,,2008,6,8,東京都足立区北加平町21-6,北綾瀬駅,15,0
suumo,79161644,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79161644/,3199,3LDK,,1995,1,8,東京都足立区西新井５,大師前駅,11,45
suumo,79188812,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79188812/,4980,3LDK,,1998,2,8,東京都足立区綾瀬１-1-8,綾瀬駅,9,30
suumo,79189086,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79189086/,3580,3LDK,,2015,3,3,東京都足立区六月１,竹ノ塚駅,18,40
suumo,79212032,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79212032/,3199,3LDK,,1995,1,8,東京都足立区西新井５,大師前駅,11,59
suumo,79228643,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79228643/,4350,2LDK,,2000,3,7,東京都足立区足立３-3-1,五反野駅,5,1
suumo,79228659,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79228659/,3199,3LDK,,1995,1,8,東京都足立区西新井５-16-14,大師前駅,11,40
suumo,20038972,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20038972/,4180,3LDK,,1980,6,11,東京都荒川区西尾久４,田端駅,15,50
suumo,20060456,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20060456/,11990,2LDK,,2008,23,2,東京都荒川区西日暮里２,日暮里駅,2,19
